Confirmed Category,Obesity,Meat,Fruits - Excluding Wine,"Fish, Seafood",Animal Products,Vegetal Products
Sangat Tidak Banyak,9.638709677419357,2.4694093749999992,4.6683531249999985,1.126915625,8.125765624999998,41.871125
Tidak Banyak,13.359375000000002,2.3462375,5.606912500000001,1.376078125,8.392828125000001,41.604037500000004
Sedang,20.81874999999999,3.7487031250000005,7.0070125,1.2639281249999998,12.157296875,37.838928125
Cukup Banyak,23.503125,4.10075,5.838346875000001,1.5043093750000003,15.865656249999999,34.13162187499999
Sangat Banyak,25.021875000000005,4.0808625,5.123728125000001,1.3325437500000001,17.182815625,32.812415625
